x_value,total_1
0,1.3392
0.00390625,1.02151
0.0078125,0.894428
0.0117188,1.05572
0.015625,1.39296
0.0195312,1.83773
0.0234375,2.23363
0.0273438,2.42913
0.03125,2.33138
0.0351562,2.17986
0.0390625,1.84262
0.0429688,1.43695
0.046875,1.08016
0.0507812,0.923754
0.0546875,0.889541
0.0585938,1.19257
0.0625,1.59824
0.0664062,2.02835
0.0703125,2.31183
0.0742188,2.40958
0.078125,2.27761
0.0820312,2.11144
0.0859375,1.72043
0.0898438,1.24145
0.09375,1.03128
0.0976562,0.889541
0.101562,0.953079
0.105469,1.17302
0.109375,1.64223
0.113281,2.01857
0.117188,2.22385
0.121094,2.43891
0.125,2.3216
0.128906,2.00391
0.132812,1.72532
0.136719,1.31476
0.140625,1.00196
0.144531,0.821114
0.148438,0.97263
0.152344,1.21701
0.15625,1.53959
0.160156,2.01857
0.164062,2.30205
0.167969,2.42913
0.171875,2.31183
0.175781,2.14565
0.179688,1.74976
0.183594,1.26588
0.1875,0.987292
0.191406,0.918866
0.195312,0.977517
0.199219,1.18768
0.203125,1.56403
0.207031,2.01857
0.210938,2.29717
0.214844,2.40469
0.21875,2.26295
0.222656,2.13099
0.226562,1.74487
0.230469,1.33431
0.234375,0.953079
0.238281,0.899316
0.242188,0.982405
0.246094,1.2219
0.25,1.59335
0.253906,1.92082
0.257812,2.31672
0.261719,2.43402
0.265625,2.3607
0.269531,2.11144
0.273438,1.67644
0.277344,1.35386
0.28125,1.01662
0.285156,0.874878
0.289062,0.899316
0.292969,1.24145
0.296875,1.59335
0.300781,1.97458
0.304688,2.22385
0.308594,2.45357
0.3125,2.37537
0.316406,2.11144
0.320312,1.69599
0.324219,1.38319
0.328125,1.03617
0.332031,0.816227
0.335938,0.962854
0.339844,1.2219
0.34375,1.52981
0.347656,1.88172
0.351562,2.29228
0.355469,2.42913
0.359375,2.3607
0.363281,2.17009
0.367188,1.76442
0.371094,1.40762
0.375,1.05572
0.378906,0.865103
0.382812,0.860215
0.386719,1.20723
0.390625,1.55425
0.394531,1.88172
0.398438,2.28739
0.402344,2.42913
0.40625,2.39003
0.410156,2.09677
0.414062,1.81818
0.417969,1.39296
0.421875,0.982405
0.425781,0.913979
0.429688,0.928641
0.433594,1.10948
0.4375,1.54936
0.441406,1.93548
0.445312,2.2434
0.449219,2.34604
0.453125,2.40469
0.457031,2.15543
0.460938,1.73509
0.464844,1.4174
0.46875,1.08504
0.472656,0.845552
0.476562,0.953079
0.480469,1.16813
0.484375,1.56403
0.488281,1.94037
0.492188,2.25806
0.496094,2.36559
0.5,2.42424
0.503906,2.17986
0.507812,1.80841
0.511719,1.42717
0.515625,1.07527
0.519531,0.879765
0.523438,0.855327
0.527344,1.1828
0.53125,1.51026
0.535156,1.8915
0.539062,2.12121
0.542969,2.41447
0.546875,2.37537
0.550781,2.10166
0.554688,1.84262
0.558594,1.44673
0.5625,1.05083
0.566406,0.938416
0.570312,0.918866
0.574219,1.11437
0.578125,1.5347
0.582031,1.91593
0.585938,2.24829
0.589844,2.37048
0.59375,2.43891
0.597656,2.17986
0.601562,1.80841
0.605469,1.44184
0.609375,1.09482
0.613281,0.86999
0.617188,0.835777
0.621094,1.16325
0.625,1.49071
0.628906,1.84262
0.632812,2.24829
0.636719,2.42424
0.640625,2.36559
0.644531,2.22874
0.648438,1.86217
0.652344,1.4565
0.65625,1.04594
0.660156,0.933529
0.664062,0.938416
0.667969,1.07527
0.671875,1.4956
0.675781,1.87683
0.679688,2.2043
0.683594,2.35093
0.6875,2.43891
0.691406,2.21408
0.695312,1.84751
0.699219,1.4956
0.703125,1.13392
0.707031,0.928641
0.710938,0.865103
0.714844,1.15836
0.71875,1.47116
0.722656,1.81818
0.726562,2.21408
0.730469,2.36559
0.734375,2.44868
0.738281,2.22874
0.742188,1.88172
0.746094,1.45161
0.75,1.33431
0.753906,0.879765
0.757812,0.894428
0.761719,1.14858
0.765625,1.49071
0.769531,1.92082
0.773438,2.16031
0.777344,2.40958
0.78125,2.42424
0.785156,2.14076
0.789062,1.77419
0.792969,1.34409
0.796875,0.977517
0.800781,0.835777
0.804688,0.957967
0.808594,1.25122
0.8125,1.63734
0.816406,2.04301
0.820312,2.29717
0.824219,2.38514
0.828125,2.33138
0.832031,2.03324
0.835938,1.50049
0.839844,1.17791
0.84375,0.928641
0.847656,0.909091
0.851562,1.09971
0.855469,1.39785
0.859375,1.86706
0.863281,2.13587
0.867188,2.41935
0.871094,2.43891
0.875,2.13099
0.878906,1.87195
0.882812,1.36852
0.886719,1.11926
0.890625,0.938416
0.894531,0.879765
0.898438,1.15836
0.902344,1.54448
0.90625,1.8915
0.910156,2.18964
0.914062,2.37537
0.917969,2.38514
0.921875,2.1652
0.925781,1.74976
0.929688,1.36852
0.933594,1.07038
0.9375,0.855327
0.941406,0.938416
0.945312,1.24633
0.949219,1.652
0.953125,1.98436
0.957031,2.32649
0.960938,2.46334
0.964844,2.30694
0.96875,2.07722
0.972656,1.66667
0.976562,1.28055
0.980469,0.928641
0.984375,0.889541
0.988281,1.03128
0.992188,1.25611
0.996094,1.66667
1,2.26784
1.00391,2.45357
1.00781,2.37537
1.01172,2.14076
1.01562,1.69599
1.01953,1.35386
1.02344,1.03617
1.02734,0.865103
1.03125,1.06061
1.03516,1.77419
1.03906,2.1652
1.04297,2.31672
1.04688,2.43402
1.05078,2.21408
1.05469,1.87683
1.05859,1.50049
1.0625,1.13881
1.06641,0.865103
1.07031,0.879765
1.07422,1.12414
1.07812,1.50049
1.08203,1.85728
1.08594,2.19941
1.08984,2.42424
1.09375,2.32649
1.09766,2.17498
1.10156,1.83773
1.10547,1.3783
1.10938,1.08016
1.11328,0.826002
1.11719,0.967742
1.12109,1.16813
1.125,1.59335
1.12891,1.99902
1.13281,2.32649
1.13672,2.42424
1.14062,2.37048
1.14453,2.11632
1.14844,1.64712
1.15234,1.30499
1.15625,1.01173
1.16016,0.879765
1.16406,1.01662
1.16797,1.28055
1.17188,1.68133
1.17578,2.02835
1.17969,2.31672
1.18359,2.45846
1.1875,2.33138
1.19141,2.06745
1.19531,1.65689
1.19922,1.29521
1.20312,1.00196
1.20703,0.904203
1.21094,0.967742
1.21484,1.30987
1.21875,1.81818
1.22266,2.11632
1.22656,2.3998
1.23047,2.45846
1.23438,2.22874
1.23828,1.87195
1.24219,1.51026
1.24609,1.15836
1.25,0.923754
1.25391,0.938416
1.25781,1.12903
1.26172,1.49071
1.26562,1.83773
1.26953,2.24829
1.27344,2.42913
1.27734,2.38514
1.28125,2.2043
1.28516,1.78886
1.28906,1.42717
1.29297,0.967742
1.29688,0.835777
1.30078,0.923754
1.30469,1.18768
1.30859,1.50049
1.3125,2.1652
1.31641,2.41935
1.32031,2.39492
1.32422,2.27273
1.32812,1.92082
1.33203,1.52004
1.33594,1.07527
1.33984,0.943304
1.34375,0.928641
1.34766,1.08504
1.35156,1.46628
1.35547,1.8915
1.35938,2.2434
1.36328,2.33627
1.36719,2.41935
1.37109,2.2043
1.375,1.79374
1.37891,1.42229
1.38281,1.10459
1.38672,0.845552
1.39062,0.899316
1.39453,1.21701
1.39844,1.50049
1.40234,2.00391
1.40625,2.31672
1.41016,2.40469
1.41406,2.19453
1.41797,1.90127
1.42188,1.50049
1.42578,1.06549
1.42969,0.918866
1.43359,0.928641
1.4375,1.10459
1.44141,1.47605
1.44531,1.81329
1.44922,2.21896
1.45312,2.42424
1.45703,2.37048
1.46094,2.19453
1.46484,1.77908
1.46875,1.42717
1.47266,0.997067
1.47656,0.860215
1.48047,0.943304
1.48438,1.19746
1.48828,1.51515
1.49219,1.95015
1.49609,2.24829
1.5,2.44379
1.50391,2.33627
1.50781,2.02835
1.51172,1.52493
1.51562,1.2219
1.51953,0.97263
1.52344,0.826002
1.52734,1.06549
1.53125,1.3783
1.53516,1.80352
1.53906,2.17986
1.54297,2.3607
1.54688,2.42913
1.55078,2.27273
1.55469,1.90127
1.55859,1.51026
1.5625,1.05572
1.56641,0.874878
1.57031,0.909091
1.57422,1.12903
1.57812,1.69599
1.58203,1.86217
1.58594,2.22874
1.58984,2.34604
1.59375,2.40958
1.59766,2.1652
1.60156,1.80841
1.60547,1.40762
1.60938,1.09971
1.61328,0.86999
1.61719,0.938416
1.62109,1.19257
1.625,1.46139
1.62891,1.90127
1.63281,2.2434
1.63672,2.45846
1.64062,2.38514
1.64453,2.15054
1.64844,1.71065
1.65234,1.36364
1.65625,1.02151
1.66016,0.835777
1.66406,0.962854
1.66797,1.27566
1.67188,1.6911
1.67578,2.03812
1.67969,2.34604
1.68359,2.46334
1.6875,2.24829
1.69141,2.02346
1.69531,1.63245
1.69922,1.14369
1.70312,0.943304
1.70703,0.899316
1.71094,1.07527
1.71484,1.29032
1.71875,1.71554
1.72266,2.11632
1.72656,2.39003
1.73047,2.47312
1.73438,2.23851
1.73828,1.94037
1.74219,1.55425
1.74609,1.08016
1.75,0.884653
1.75391,0.894428
1.75781,1.11926
1.76172,1.48094
1.76562,1.84262
1.76953,2.22385
1.77344,2.33138
1.77734,2.36559
1.78125,2.17986
1.78516,1.85239
1.78906,1.42717
1.79297,1.09971
1.79688,0.845552
1.80078,0.953079
1.80469,1.19746
1.80859,1.56892
1.8125,1.9697
1.81641,2.29717
1.82031,2.35582
1.82422,2.38514
1.82812,2.13099
1.83203,1.66667
1.83594,1.30499
1.83984,0.987292
1.84375,0.879765
1.84766,0.99218
1.85156,1.18768
1.85547,1.64712
1.85938,2.06256
1.86328,2.25806
1.86719,2.39492
1.87109,2.3216
1.875,1.9697
1.87891,1.60802
1.88281,1.23656
1.88672,0.884653
1.89062,0.884653
1.89453,1.06061
1.89844,1.38807
1.90234,1.80352
1.90625,2.09189
1.91016,2.40958
1.91406,2.45357
1.91797,2.22385
1.92188,1.94037
1.92578,1.54448
1.92969,1.08016
1.93359,0.860215
1.9375,0.860215
1.94141,1.10948
1.94531,1.46628
1.94922,1.80841
1.95312,2.23363
1.95703,2.41935
1.96094,2.42913
1.96484,2.18475
1.96875,1.86217
1.97266,1.40274
1.97656,1.08504
1.98047,0.913979
1.98438,1.13881
1.98828,1.13392
1.99219,1.50538
1.99609,1.98925
